id;value
1;Ford
2;Chevrolet
3;Dodge
4;Toyota
5;Kia
6;Honda
7;Nissan
8;Unknown
9;Gmc
10;Subaru
11;Hyundai
12;Audi
13;Volkswagen
14;Bmw
15;Volvo
16;Mercedes benz
17;Mazda
18;Cadillac
19;Jeep
20;Chrysler
21;Mitsubishi
22;Lexus
23;Acura
24;Pontiac
25;Suzuki
26;Scion
27;Lincoln
28;Isuzu
29;Infiniti
30;Harley Davidson
31;Saturn
32;Hino
33;Kawasaki
34;Buick
35;Jaguar
36;Saab
37;Rover
38;Inter
39;Yamaha
40;Fiat
41;Porsche
42;Mack
43;Hummer
44;Mini
45;Work
46;Smart car
47;Oldsmobile
48;Metz
49;Pratt
50;Cimc
51;Vespa
52;Rolls royce
53;Triumph
54;Bentley
55;Caravan
